Date,Available,Missing,Complete
2013-08-14,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-15,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-16,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-17,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-18,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-19,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-20,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-21,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-22,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-23,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-24,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-25,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-26,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-27,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-28,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-29,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-30,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-31,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-09-01,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-09-02,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-09-03,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-09-04,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-09-05,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
