block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
88,0,0.95,4.893053,7.471613,65.48858,40.35487365722656,108.20648956298828,58.8235294117647,10,2014-10-26,2014-10-29,2014-10-27 12:00:00,0.489305305480957,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
89,0,0.95,41.327682,14.538079,284.27194,169.3024444580078,415.8032531738281,100.0,17,2014-10-30,2014-11-02,2014-10-31 12:00:00,2.431040146771599,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
90,0,0.95,8.034758,12.432725,64.62588,37.78606414794922,98.9749526977539,94.11764705882354,16,2014-11-03,2014-11-06,2014-11-04 12:00:00,0.5021723508834839,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-45,0,0.95,12.455695,12.461261,99.95533,80.37629568687566,128.6155620255359,53.333333333333336,8,2013-05-12,2013-05-15,2013-05-13 12:00:00,1.5569618940353394,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-44,0,0.95,34.069607,34.068302,100.00383,76.74624147228745,125.55398749245565,100.0,15,2013-05-16,2013-05-19,2013-05-17 12:00:00,2.271307118733724,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-43,0,0.95,30.932209,34.068302,90.79469,69.67884372974906,113.99198848444837,100.0,15,2013-05-20,2013-05-23,2013-05-21 12:00:00,2.062147267659505,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-42,0,0.95,30.86868,34.068302,90.60821,69.53573348736974,113.757865467646,100.0,15,2013-05-24,2013-05-27,2013-05-25 12:00:00,2.0579119364420575,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-41,0,0.95,43.306133,27.823715,155.64468,120.10273740618825,196.02982375284586,66.66666666666667,10,2013-05-28,2013-05-31,2013-05-29 12:00:00,4.330613327026367,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-40,0,0.95,28.119684,28.811346,97.59934,76.5890512077445,118.71126303659561,80.0,12,2013-06-01,2013-06-04,2013-06-02 12:00:00,2.3433070182800293,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-39,0,0.95,,,,,,0.0,0,2013-06-05,2013-06-08,2013-06-06 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-38,0,0.95,,,,,,0.0,0,2013-06-09,2013-06-12,2013-06-10 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-37,0,0.95,,,,,,0.0,0,2013-06-13,2013-06-16,2013-06-14 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-36,0,0.95,,,,,,0.0,0,2013-06-17,2013-06-20,2013-06-18 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-35,0,0.95,18.457567,34.068302,54.178123,41.578081818687075,68.02019049374226,100.0,15,2013-06-21,2013-06-24,2013-06-22 12:00:00,1.2305044809977213,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-34,0,0.95,,,,,,0.0,0,2013-06-25,2013-06-28,2013-06-26 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-33,0,0.95,12.854828,24.494436,52.480602,40.80792508351796,65.09605395070278,73.33333333333333,11,2013-06-29,2013-07-02,2013-06-30 12:00:00,1.1686207164417615,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-32,0,0.95,,,,,,0.0,0,2013-07-03,2013-07-06,2013-07-04 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-31,0,0.95,25.221327,34.068302,74.03165,56.81433175724974,92.94612689818476,100.0,15,2013-07-07,2013-07-10,2013-07-08 12:00:00,1.6814217885335287,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-30,0,0.95,,,,,,0.0,0,2013-07-11,2013-07-14,2013-07-12 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-29,0,0.95,20.186623,19.91158,101.381325,77.29970067931964,135.552913485112,73.33333333333333,11,2013-07-15,2013-07-18,2013-07-16 12:00:00,1.8351475108753552,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-28,0,0.95,,,,,,0.0,0,2013-07-19,2013-07-22,2013-07-20 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-27,0,0.95,30.214214,34.068302,88.68717,68.0614648083911,111.34601691675842,100.0,15,2013-07-23,2013-07-26,2013-07-24 12:00:00,2.0142809549967446,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-26,0,0.95,,,,,,0.0,0,2013-07-27,2013-07-30,2013-07-28 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-25,0,0.95,9.67213,16.867258,57.342632,44.896492024856244,79.34993862254503,66.66666666666667,10,2013-07-31,2013-08-03,2013-08-01 12:00:00,0.9672129631042481,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-24,0,0.95,8.51422,16.502644,51.593067,40.30615903847459,64.23332837176697,66.66666666666667,10,2013-08-04,2013-08-07,2013-08-05 12:00:00,0.8514220237731933,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-23,0,0.95,18.120705,20.621853,87.87137,70.56944389559803,115.30869238891061,73.33333333333333,11,2013-08-08,2013-08-11,2013-08-09 12:00:00,1.6473367864435369,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-22,0,0.95,,,,,,0.0,0,2013-08-12,2013-08-15,2013-08-13 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-21,0,0.95,,,,,,0.0,0,2013-08-16,2013-08-19,2013-08-17 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-20,0,0.95,,,,,,0.0,0,2013-08-20,2013-08-23,2013-08-21 12:00:00,,not observable,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-19,0,0.95,18.690601,34.068302,54.86215,42.10302285878195,68.87897444873434,100.0,15,2013-08-24,2013-08-27,2013-08-25 12:00:00,1.2460400899251303,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-18,0,0.95,30.835337,34.068302,90.510345,69.4606256332396,113.63499182071378,100.0,15,2013-08-28,2013-08-31,2013-08-29 12:00:00,2.0556891123453775,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-17,0,0.95,33.88617,34.068302,99.46539,76.33302453387331,124.87797999916292,100.0,15,2013-09-01,2013-09-04,2013-09-02 12:00:00,2.259077962239583,observed,Guiuan Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
