block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
-45,0,0.95,1014.5653,688.39746,147.38075,125.12393188476562,174.9707489013672,100.0,147,2013-05-12,2013-05-15,2013-05-13 12:00:00,6.9018048137223635,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-44,0,0.95,698.3037,688.39746,101.43903,86.12014770507812,120.42864990234375,100.0,147,2013-05-16,2013-05-19,2013-05-17 12:00:00,4.750365380527211,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-43,0,0.95,759.4459,688.39746,110.320854,93.6606674194336,130.97315979003906,100.0,147,2013-05-20,2013-05-23,2013-05-21 12:00:00,5.166298794908588,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-42,0,0.95,872.0381,685.0232,127.30052,108.19630432128906,151.05792236328125,98.63945578231292,145,2013-05-24,2013-05-27,2013-05-25 12:00:00,6.014055765086207,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-41,0,0.95,1009.3856,562.54974,179.43047,153.77719116210938,211.0416259765625,71.42857142857143,105,2013-05-28,2013-05-31,2013-05-29 12:00:00,9.613196382068452,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-40,0,0.95,147.84802,173.44182,85.24358,76.27910614013672,98.51238250732422,17.687074829931973,26,2013-06-01,2013-06-04,2013-06-02 12:00:00,5.68646240234375,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-39,0,0.95,,,,,,0.0,0,2013-06-05,2013-06-08,2013-06-06 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-38,0,0.95,,,,,,0.0,0,2013-06-09,2013-06-12,2013-06-10 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-37,0,0.95,,,,,,0.0,0,2013-06-13,2013-06-16,2013-06-14 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-36,0,0.95,,,,,,0.0,0,2013-06-17,2013-06-20,2013-06-18 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-35,0,0.95,574.35565,653.78204,87.85124,74.23828887939453,104.85481262207031,95.91836734693878,141,2013-06-21,2013-06-24,2013-06-22 12:00:00,4.073444339400488,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-34,0,0.95,,,,,,0.0,0,2013-06-25,2013-06-28,2013-06-26 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-33,0,0.95,799.0495,682.07294,117.15016,99.48318481445312,138.58859252929688,99.31972789115646,146,2013-06-29,2013-07-02,2013-06-30 12:00:00,5.4729417774775255,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-32,0,0.95,586.7427,675.9187,86.806694,73.73236846923828,102.57141876220703,95.23809523809524,140,2013-07-03,2013-07-06,2013-07-04 12:00:00,4.191019112723215,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-31,0,0.95,752.49414,688.39746,109.311,92.80331420898438,129.77426147460938,100.0,147,2013-07-07,2013-07-10,2013-07-08 12:00:00,5.1190077593537415,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-30,0,0.95,19.51735,25.755283,75.77998,49.28654479980469,112.00665283203125,15.646258503401361,23,2013-07-11,2013-07-14,2013-07-12 12:00:00,0.8485804018766984,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-29,0,0.95,537.8368,688.39746,78.128815,66.33013916015625,92.75470733642578,100.0,147,2013-07-15,2013-07-18,2013-07-16 12:00:00,3.6587536870216835,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-28,0,0.95,541.4827,579.56274,93.42953,79.75992584228516,110.90315246582031,85.03401360544218,125,2013-07-19,2013-07-22,2013-07-20 12:00:00,4.33186181640625,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-27,0,0.95,78.727135,136.3605,57.73456,48.93442153930664,69.5506591796875,20.408163265306122,30,2013-07-23,2013-07-26,2013-07-24 12:00:00,2.624237823486328,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-26,0,0.95,,,,,,0.0,0,2013-07-27,2013-07-30,2013-07-28 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-25,0,0.95,,,,,,0.0,0,2013-07-31,2013-08-03,2013-08-01 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-24,0,0.95,24.656307,35.35134,69.74645,53.233577728271484,95.23231506347656,17.006802721088434,25,2013-08-04,2013-08-07,2013-08-05 12:00:00,0.9862522888183594,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-23,0,0.95,,,,,,0.0,0,2013-08-08,2013-08-11,2013-08-09 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-22,0,0.95,,,,,,0.0,0,2013-08-12,2013-08-15,2013-08-13 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-21,0,0.95,,,,,,0.0,0,2013-08-16,2013-08-19,2013-08-17 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-20,0,0.95,,,,,,0.0,0,2013-08-20,2013-08-23,2013-08-21 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-19,0,0.95,,,,,,0.0,0,2013-08-24,2013-08-27,2013-08-25 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-18,0,0.95,741.0,688.39746,107.641304,91.38577270507812,127.79199981689453,100.0,147,2013-08-28,2013-08-31,2013-08-29 12:00:00,5.040816326530612,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-17,0,0.95,705.63196,688.39746,102.50357,87.02391052246094,121.69246673583984,100.0,147,2013-09-01,2013-09-04,2013-09-02 12:00:00,4.800217401413691,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-16,0,0.95,704.1322,688.39746,102.285706,86.83895111083984,121.4338150024414,100.0,147,2013-09-05,2013-09-08,2013-09-06 12:00:00,4.790014980601615,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-15,0,0.95,68.645004,56.59528,121.291046,86.49364471435547,172.82785034179688,26.53061224489796,39,2013-09-09,2013-09-12,2013-09-10 12:00:00,1.7601283146784856,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-14,0,0.95,649.77966,680.9683,95.41995,81.09568786621094,113.13043212890625,98.63945578231292,145,2013-09-13,2013-09-16,2013-09-14 12:00:00,4.481239055765086,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-13,0,0.95,,,,,,0.0,0,2013-09-17,2013-09-20,2013-09-18 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
